Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	3201	USD Index@FNX	[001001001001]	1	0.01%	20:00	18:00	8	15:00	DXA Curncy	DX	02:00	02:00	20	Vwap	10	00:20	01:20	FNX	DX	NYBOT		Y	Y	Y	Y	Y	Y	
Y	3202	EUR/GBP@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	RPA Curncy	RP	03:05	03:05	20	Vwap	10	05:10	06:10	CME	RP	GLOBEX	17:00	Y	Y	N	Y	N	N	
Y	3203	EUR/JPY@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	RYA Curncy	RY	19:05	19:05	20	Vwap	10	05:10	06:10	CME	RY	GLOBEX		Y	Y	N	Y	N	N	
Y	3205	JPY/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	JYA Curncy	JY	07:00	10:30	20	Vwap	10	07:10	08:10	CME	JPY	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3206	EUR/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	ECA Curncy	URO	07:00	00:10	20	Vwap	10	07:10	08:10	CME	EUR	GLOBEX	17:00	Y	Y	Y	Y	Y	Y	
Y	3207	GBP/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	BPA Curncy	BP	07:00	07:00	20	Vwap	10	00:20	01:20	CME	GBP	GLOBEX	17:00	Y	Y	Y	Y	Y	Y	
Y	3208	AUD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	ADA Curncy	AD	18:05	18:05	20	Vwap	10	02:10	05:10	CME	AUD	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3209	CAD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	CDA Curncy	CD	07:00	09:00	20	Vwap	10	07:10	08:10	CME	CAD	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3210	MXN/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	PEA Curncy	MP	00:10	10:30	20	Vwap	10	09:10	10:10	CME	MXP	GLOBEX		Y	Y	N	N	N	N	
Y	3211	CHF/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	SFA Curncy	SF	10:30	20:00	20	Vwap	10	07:10	08:10	CME	CHF	GLOBEX	17:00	Y	Y	Y	Y	Y	Y	
Y	3212	NZD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	NVA Curncy	NE	07:00	07:00	20	Vwap	10	02:10	05:10	CME	NZD	GLOBEX		Y	Y	Y	Y	Y	Y	
