Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	StpLossPeriod	BBExch	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
N	1101	Corn@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	C A Comdty	C	19:00	19:00	20	Vwap	10	08:35	09:25	08:35	09:25		CBT	ZC	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	1102	Corn@DCE	[100010001000]	1	0.05%	21:00	15:00	8	16:00	ACA Comdty	DCC	21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1103	Maize@EOP	[101001010010]	1	0.05%	10:45	18:30	8	18:30	EPA Comdty	EMA	10:45	10:45	12	Vwap	2	10:50	11:50	11:05	12:05		EOP	EMA	MATIF	10	Vwap	2	10	70	0		Y	Y	N	Y	N		N	
N	1201	Cotton@ZCE	[101010101010]	1	0.05%	21:00	15:00	8	15:00	VVA Comdty		21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		ZCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1202	Cotton No. 2@NYB	[001010100001]	1	0.05%	21:00	14:20	8	14:15	CTA Comdty	CT	21:00	21:00	20	Vwap	10	21:00	03:00	08:15	09:15	1	NYB	CT	NYBOT	10	Vwap	10	10	70	0	21:00	Y	Y	Y	Y	Y		Y	
N	1301	Palm Oil@DCE	[100010001000]	1	0.05%	21:00	15:00	8	16:00	PALA Comdty	DCP	21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N	liq	N	
N	1302	White Sugar@ZCE	[101010101010]	1	0.05%	21:00	15:00	8	15:00	CBA Comdty		21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		ZCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	03:30	11:30	8	12:55	SBA Comdty	SB	03:30	03:30	20	Vwap	10	03:35	04:45	03:45	04:45	3	NYB	SB	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	1304	Egg@DCE	[111111001111]	1	0.05%	09:00	15:00	8	16:00	DCEA Comdty		09:00	09:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	09:30	16:55	8	16:50	QCA Comdty	LCC	09:30	09:30	20	Vwap	10	09:35	11:40	10:40	11:40	3	LIF	C	ICEEUSOFT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	Fix BST time
Y	1306	Cocoa@NYB	[001010101001]	1	0.05%	04:45	13:30	8	11:50	CCA Comdty	CC	04:45	04:45	20	Vwap	10	04:45	05:45	04:45	05:45	3	NYB	CC	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1307	Coffee C@NYB	[001010101001]	1	0.05%	04:15	13:30	8	12:25	KCA Comdty	KC	04:15	04:15	20	Vwap	10	04:20	05:20	04:20	05:20	3	NYB	KC	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:25	DFA Comdty	LRC	09:00	09:00	20	Vwap	10	09:15	10:15	09:15	10:15	3	LIF	D	ICEEUSOFT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	Fix BST time
