Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
Y	1101	Corn@CBT	[001010100001]	1	0.05%	08:35	13:15	8	13:15	C A Comdty	C	ZC	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	1102	Corn@DCE	[100010001000]	1	0.05%	13:40	15:00	8		ACA Comdty	DCC			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1103	Maize@EOP	[101001010010]	1	0.16%	10:55	18:30	8	18:30	EPA Comdty	EMA	EMA	MATIF	10	Vwap	2	10	70	0		Y	Y	N	Y	N		N	
N	1201	Cotton@ZCE	[101010101010]	1	0.05%	13:40	15:00	8		VVA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1202	Cotton No. 2@NYB	[001010100001]	1	0.05%	09:05	14:20	8	14:15	CTA Comdty	CT	CT	NYBOT	10	Vwap	10	10	70	0	21:00	Y	Y	Y	Y	Y		Y	
N	1301	Palm Oil@DCE	[100010001000]	1	0.05%	13:40	15:00	8		PALA Comdty	DCP			10	Vwap	2	10	70	0		N	N	N	N	N	liq	N	
N	1302	White Sugar@ZCE	[101010101010]	1	0.05%	13:40	15:00	8		CBA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	03:35	13:00	8	12:55	SBA Comdty	SB	SB	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	1304	Egg@DCE	[111111001111]	1	0.05%	13:40	15:00	8		DCEA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	09:35	16:50	8	16:50	QCA Comdty	LCC	C	ICEEUSOFT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	Fix BST time
Y	1306	Cocoa@NYB	[001010101001]	1	0.05%	04:50	13:30	8	11:50	CCA Comdty	CC	CC	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1307	Coffee C@NYB	[001010101001]	1	0.05%	04:20	13:30	8	13:25	KCA Comdty	KC	KC	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
